Symbol	GSM620832	GSM620833	GSM620834	GSM620835	GSM620836	GSM620837	GSM620838	GSM620839	GSM620840	GSM620841	GSM620842	GSM620843	GSM620844	GSM620845	GSM620846	GSM620847	GSM620848	GSM620849	GSM620850	GSM620851	GSM620852	GSM620853	GSM620854	GSM620855	GSM620856	GSM620857	GSM620858	GSM620859	GSM620860	GSM620861	GSM620862	GSM620863	GSM620864	GSM620865	GSM620866	GSM620867	GSM620868	GSM620869
PGM3	-0.071	0	0	0.011	0	0	0	1.334	0	2.408	0	2.28	0	0	1.999	1.605	0	0	2.147	0	0.67	2.191	1.362	1.45	0	0.697	0	1.271	0.363	0	0	2.079	0	1.761	0	0	0	2.364
PGM5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGPEP1	0.199	0	0.403	0.336	0.522	0.039	0.0195	0.739	0.598	0.019	0	0	0	0.0765	0.0595	0.475	0.2225	0.497	0.267	0.4565	0.325	0.596	0	0.55	0.935	0	-0.147	0.496	0.623	0.4725	0.13	0	0.537	0.456	0	0.1735	-0.2315	0
PGRMC1	-1.241	-0.995	-0.717	-0.969	0	-1.376	-1.991	-1.996	-1.757	-2.072	-1.809	-0.3	0	-2.647	-1.751	-1.175	-2.265	-1.616	-1.493	-2.847	-1.79	-1.919	-0.988	-2.77	-1.46	-1.283	-1.724	-1.219	-1.517	-3.225	-1.66	-1.061	-2.583	-1.539	-1.669	-0.993	-1.603	-0.936
PGRMC2	-0.801	0	-0.827	-0.879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.619	0	0	0	-0.821	0	-1.569	0	0	0	-0.626
PGS1	0.709	1.445	1.303	0.831	1.142	0.814	0.309	0.304	0	0.048	0.271	0	0	1.083	0.059	0.245	0.215	0	0.237	0	0.36	0.171	0.542	1.93	1.28	1.007	0.306	0	0.783	0	0.64	0	0.147	0.011	0.311	0.067	0.857	0
PHACTR1	-0.701	-2.055	-0.937	-1.309	-0.668	0	-0.371	-0.946	-0.237	-1.182	0	0	0.678	-0.807	-1.121	-0.755	-0.965	-1.646	-0.863	0	-0.99	-1.159	0	-1.68	-1.49	-0.233	-0.694	-0.609	-0.537	-0.595	-1.17	-1.221	-0.543	-1.409	-1.279	0	-0.613	0
PHACTR2	-0.756	-0.2225	-0.687	-0.469	-0.838	0.274	0.1995	-0.801	-0.807	-1.372	-0.339	-0.91	0.093	-0.457	-0.786	-1.035	-0.565	0.139	-0.763	0	-0.365	-1.174	-0.443	-0.77	-0.65	0.682	-0.449	-0.999	-0.432	-0.455	-0.48	-1.471	-0.748	-0.794	-0.049	-0.428	-0.688	-0.906
PHACTR4	0.859	0	0.813	0.891	1.782	2.214	2.059	1.784	2.163	1.398	1.841	0.6	2.718	1.833	1.739	1.205	1.805	2.014	1.667	2.203	1.41	1.801	1.222	1.77	1.31	1.817	1.076	1.431	1.283	1.975	1.41	0.809	1.737	1.141	1.821	1.087	1.157	0.884
PHB2	0.049	0.265	0.203	0.381	0.672	1.064	0.599	1.084	1.063	1.148	1.321	0.97	0.708	1.393	1.019	1.725	0.515	0.754	1.047	1.333	0.7	0.831	0.612	0.92	1.26	0.357	1.146	0.661	1.523	0.825	1.1	1.149	1.067	1.051	0.891	0.847	1.377	0.894
PHF1	0.199	0.155	0.333	0.076	-0.044	0.499	0.359	-0.391	0.648	-0.157	-0.089	-0.38	0.853	0.413	-0.161	0.075	0.155	-0.043	-0.00799999999999998	0.183	0.025	-0.329	-0.019	-0.445	-0.145	0.0185	0.126	-0.304	0.223	0.935	0.18	-0.401	0.002	-0.249	0.571	0.037	-0.118	-0.148
PHF10	-0.001	0	-0.287	-0.169	-0.678	0.194	0.169	0.094	0.163	0.168	0.441	0.4	-0.452	-0.927	0.119	0.215	0.005	0.064	0.307	0	0.32	-0.029	0.092	-0.17	-0.23	-0.383	0.316	0.051	0.183	0.015	0.01	0.239	0.237	0.421	0.491	0.267	-0.343	0.124
PHF11	-0.391	-0.065	-0.047	-0.209	0	0	0.679	-0.276	-0.007	-0.072	0	-0.22	0	0	-0.081	-0.465	-0.335	0.084	0	0	0.2	-0.009	0	0.09	0.05	0.947	0	-0.209	-0.287	0	0.25	-0.201	-0.013	0	0	-0.053	0	0.154
PHF12	0	0	-0.187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.513	0
PHF13	-0.111	0	-0.167	-0.279	0.692	-0.426	0.399	-0.666	0	0.208	0.221	0	0	-0.067	-0.291	-0.285	0.105	0.034	0	0	0.16	-0.349	0	-0.63	-0.16	0	0.446	0	0.743	0.375	-0.15	-0.601	-0.133	-0.179	-0.049	0	-0.113	0
PHF14	-0.411	0	-0.777	0	0	0	0	-0.726	0	0	0	0.27	0	0	-0.371	0	0	0	0	0	0	0	0	0	0	0	0	-0.169	0	0	0	-0.141	0	-0.099	0	-0.213	0	0.124
PHF19	0.309	0.815	0.423	0.691	1.022	1.194	0.889	1.204	1.653	0.808	1.451	1.05	0.918	1.523	1.339	1.795	1.185	1.374	0.657	1.273	0.98	0.711	0.532	0.98	0.99	0.507	1.746	0.911	1.863	1.895	0	0.709	1.487	1.291	0.871	0.627	0.557	0.304
PHF2	0.749	0.355	0.483	0.661	-0.448	-0.736	-0.181	-0.996	-0.437	-0.412	-0.549	0.12	-0.412	-0.807	-0.871	-0.255	-0.845	-0.976	-0.883	0	-0.1	-1.029	-0.288	-0.74	-0.87	0.217	-0.404	-0.639	-0.277	-0.435	-0.29	-0.381	-0.623	-0.399	0.151	-0.233	-0.143	0.024
PHF20	0.079	0.515	0.733	0.791	-0.098	-0.606	-0.281	-0.896	-0.827	-0.522	-0.209	-0.33	-0.732	-0.547	-0.841	-0.265	-0.485	-0.296	-0.773	0	-0.12	-0.919	-0.468	-0.63	-0.98	-0.523	-0.614	-0.679	-0.587	-0.475	-0.56	-0.481	-0.513	-0.289	0.021	-0.093	-0.263	-0.216
PHF21A	0.479	0.145	0.363	0.361	0.322	0.294	0.329	0	0.643	-0.142	0	-0.58	0.808	0.453	0	0	0	-0.006	0	0	0	-0.029	0	0.4	0.28	0.577	0.126	0	0.143	-0.245	0.23	-0.271	-0.283	-0.279	-0.169	0	0	-0.246
PHF23	0.899	1.365	1.373	1.301	1.662	1.704	1.469	1.234	1.483	0.958	1.411	0.64	1.688	1.573	1.099	1.025	1.165	1.344	0.987	1.373	1.07	1.281	0.852	1.07	1.3	1.377	1.276	0.961	1.393	1.305	1.43	0.649	1.287	1.161	1.181	1.007	1.297	0.664
PHF3	0.059	-0.195	-0.077	0.221	0	-0.426	0.259	-1.136	-0.977	-0.542	-0.889	0.06	0	-0.257	0	-1.035	-1.175	0	-0.923	-1.027	-0.4	0	-0.548	-1.04	-0.9	0.137	-0.324	-1.099	-0.897	-1.615	-0.39	-0.431	-1.213	-0.639	0.191	-0.543	-0.243	-0.096
PHF5A	-0.4555	0	-0.6535	-0.7695	-1.149	-0.278	-0.6855	-0.493	-0.3385	-0.231	-0.3195	-0.165	-0.346	-0.5435	-0.4905	-0.3225	-0.5775	-0.423	-0.2115	-0.5985	-0.465	-0.7345	-0.309	-0.55	-0.82	-0.6265	-0.472	-0.4645	-0.4735	-0.1725	-0.38	-0.0405	-0.5915	0.041	-0.3545	-0.2215	-0.1215	-0.248
PHF6	-0.3805	0	-0.1835	-0.1795	-1.559	0	-0.4755	-0.928	-0.8835	-0.031	0	0.52	0	0	-0.8055	-0.2325	-1.0975	0	-0.5565	0	-0.385	-0.9045	-0.474	-0.78	0	-0.6215	-0.677	-0.7245	-0.7985	-0.6375	0	0.0645	-0.9965	-0.1595	0	-0.4315	0	0.482
PHF8	-0.121	-0.165	0.043	-0.069	0	-0.816	-0.781	-0.656	-0.257	-0.972	-0.899	0	0	-0.727	-0.851	-1.325	-0.015	-0.616	-0.693	-0.797	-0.69	-0.949	0	-1	-0.93	-0.873	-0.814	-0.689	-0.767	0.075	-0.98	-1.371	-0.323	0	-0.819	-1.213	-0.933	-1.086
PHGDH	0	0	0	0	0.792	2.244	0.609	1.394	2.153	1.668	1.671	1.06	0	1.283	1.849	1.305	1.585	1.494	1.687	1.843	0.7	1.441	0	2.11	2.11	0	1.246	1.361	1.173	1.905	1.33	1.299	1.707	1.621	0.721	0.797	1.937	1.254
PHPT1	-0.121	-0.155	0.093	-0.179	0.282	0.734	-0.221	0.984	0.763	0.908	0.671	0.54	0.958	0	0.899	0.905	1.045	0.124	0.917	1.113	-0.04	0.921	0.322	1	1.07	0.447	0.356	0.641	0.373	1.145	0.87	0.819	0.657	0.961	0.191	0.377	0.867	0.704
PHTF1	0.289	0	0.313	0	0	0	0	-0.316	0	0.858	0	1.3	0	0	-0.161	-0.535	0	0	-0.243	0	0	-0.279	0	0	0	0	0	-0.559	0	0.005	0	0.599	0	0	0	0	0.537	1.244
PHTF2	-0.861	-0.935	-1.107	-1.029	-3.598	0	-1.491	-3.226	-2.737	-0.822	0	0.45	0	0	-2.711	-1.495	0	0	-2.483	0	-1.86	-2.759	-2.038	-3.27	0	-2.003	-2.174	-2.479	-2.497	-2.665	0	-0.321	-2.683	-1.169	-1.219	-1.253	0	-0.566
PHYH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0	0	0
PHYHD1	0	0	0	0	0.867	0.587	0.709	1.519	0	1.228	0	0	0	0.978	0	0.7675	0	0.512	0.8285	0	0.46	1.421	0	0	1.475	0	0	0.7955	0.5715	2.49	1.015	0.8145	0	1.166	0.661	0	1.257	0
PI4K2B	-0.931	0	-0.867	0	0	0	0	0	0	0.778	0	2.39	0	0	-1.161	-1.685	0	0	-0.793	0	0	-1.169	-0.318	0	0	0	0	0	0	0	0	1.429	0	0.341	0	0	0	0.574
PICALM	0.669	0.155	0.233	0.141	-0.518	-1.346	-1.331	-0.996	-0.867	-0.792	-1.049	-0.84	-0.832	-1.527	-1.181	-1.385	-0.785	-1.596	-1.393	0	-1.57	-1.479	-0.748	-1.22	-2.09	-0.843	-0.984	-1.099	-1.367	-1.285	-0.85	-1.281	-1.213	-0.909	-1.539	-0.833	-1.273	-1.636
PICK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.085	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.09	0	0.577	0	0	0	0	0
PIK3AP1	-0.191	-0.295	-0.207	-0.549	-1.678	-1.166	-0.211	-2.076	-1.527	-0.512	-1.259	-0.06	-0.372	-1.847	-2.081	-0.585	-2.445	-1.236	-1.183	0	-0.53	-2.149	-0.338	-0.22	-2.11	1.147	0	-1.989	-1.187	-1.595	-0.67	-0.611	-2.193	-1.189	0.011	-0.413	0.527	0.324
PISD	1.739	1.525	1.783	2.001	0	0.824	0.589	0.134	1.033	-0.022	0.061	-0.08	1.358	0.083	0.059	0.325	0.295	0.634	0.617	0.273	0.05	0.041	0.692	0.58	0.54	1.857	0.766	0.211	0.693	0.055	0.57	0.289	0	-0.229	0.031	0.587	-0.953	0.214
PITRM1	-0.111	-0.175	-0.482	-0.219	-0.00800000000000001	1.154	0.619	0.514	0.778	0.558	0.706	-0.285	0.393	0.683	0.574	0.235	0.285	0.204	0.632	0.1065	0.53	0.686	0.317	0.33	0.73	-0.098	0.826	0.256	0.508	0.0175	0.685	-0.101	0.767	0.506	0.561	0.352	0.307	0.029
PKMYT1	0	0	0	0	0.692	0.004	0.119	0	0	0.168	-0.949	0	0	0.593	1.039	0	0	0	0.297	0	0.49	0.631	0	0	0	0	0	0	1.013	1.835	0.63	-0.201	0.657	0.611	0	-0.213	0	0
PKN1	-0.121	0	-0.197	-0.459	-0.018	0.004	0	0.474	0.413	-0.142	0.371	0	0.958	-0.147	-0.001	-0.175	0.765	-0.336	0.197	0	0.01	-0.259	0	0.05	0	-0.233	-0.204	0.231	0.063	1.015	-0.43	-0.371	0.507	-0.159	-0.349	0	-0.983	0
PKN2	0.699	0.4175	0.3915	0.5605	0.176	0	0	-0.268	-0.4735	-0.006	-0.0345	-0.12	-0.306	0	-0.1955	-0.385	-0.1675	0	-0.1715	0	-0.245	-0.2045	-0.099	-0.33	0	0.2185	-0.032	-0.1895	-0.592	-0.5575	0	-0.1255	-0.0365	-0.1245	-0.0345	-0.1115	-0.573	-0.063
PKN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.251	0	0	0	0
PKNOX1	0.3745	0	0.3165	0.4555	-0.018	0	0	0.257	0.1465	-0.181	0	0	0	0.2365	0.244	0.51	0.2525	0	0.0835	0	0.27	0.281	0	0.155	0.46	0	0	0.2305	0.683	0.2075	0.13	0.0945	0.2985	0.126	0	0	0.3935	0.027
PKP3	0	0	0	0	0.472	0	0.499	0	0	0	0	0	0	0.403	0	0	0	0	0	0	0	1.101	0	0	0	0	0	0	0	0	0.69	0	0	0	0	0	0	0
PKP4	0.2345	0	0.2015	0	1.102	0	0	0	0	0	0	0	0	0.4715	0.3745	-0.3425	0	0	0	0	0	0	0	0	0	0	0.483	0	0.4715	0.1025	0	0	0	0.2355	0	0	0	0
PLAU	0	0	0	0	0.372	0	0	0.094	0	0	0	0	0	0	-0.101	0	0.475	0	0	0	0	0	0	0	0	0	0	0	0	0.305	0	0	0.247	0.371	0	0	0	0
PLAUR	-0.151	-0.995	-0.117	-0.799	-0.318	-1.396	-1.941	-1.096	-0.667	-1.852	-2.819	-1.67	-0.732	-1.577	-1.421	-1.335	-1.335	-2.196	-1.243	-2.897	-1.8	-1.529	-0.558	-1.47	-0.85	-0.673	-1.104	-0.719	-1.037	-2.305	-1.53	-1.601	-1.973	-1.999	-2.959	-1.093	-2.583	-1.986
PLB1	0	0	0.0665	0	0.322	0	0	0	0	0	0	0	0	-0.222	0	0	0	0	0	0	0	0.3755	0	0.675	0	0	0	0	0	0	0.155	0	0	-0.0795	0	0	0	0
PLEK	-0.151	-0.875	-0.427	-0.629	-1.288	-0.566	-0.951	-1.056	-1.067	-1.292	-0.559	-1.4	-0.842	-2.087	-1.201	-1.205	-1.545	-1.136	-1.493	0	-1.37	-2.269	-0.408	-1.75	-1.6	-0.103	-1.064	-0.909	-1.427	-1.405	-1.31	-1.131	-2.033	-1.149	-1.439	-0.283	-1.733	-1.146
PLEK2	2.439	0	3.053	3.241	3.482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLG	0	0	0	0	0.201	0	0.214	0	0	0	0	0	0	0.328	0	0	0	0	0	0	0.06	0.0855	0	0	0	0	0	0	0	0	0.095	0	0	0	0	0	0	0
PLSCR1	-0.621	-0.225	0.413	-0.949	-2.408	0	0	-2.346	-1.407	-1.272	0	-0.28	-0.872	0	-1.701	-1.655	-2.635	0	-0.923	0	-0.37	-2.019	0.112	-0.22	0	2.167	-0.284	-2.309	-0.987	-2.525	0	-0.471	-2.993	-1.209	0	-1.373	0.247	1.124
PLSCR2	-0.301	0	0.373	0	0	0	0	-0.826	-0.767	-0.962	0	-0.8	0	0	-0.501	-1.505	0	0	-0.163	0	-0.3	-0.659	0.382	0	1.32	1.877	-0.514	-0.639	-0.827	0	0	-0.561	0	-1.029	0	-0.963	0	0.434
PLSCR3	0.189	0.855	0.303	0.491	0.622	0.324	-0.021	0.294	0.993	0.128	0.461	-0.07	0.858	0.733	0.309	0.405	0.855	0.024	0.147	0.453	0.43	0.401	0.012	0.13	0.39	0.147	0.376	0.301	0.793	1.445	0.02	-0.111	0.807	0.571	0.621	0.037	-0.313	-0.426
PLSCR4	0	0	0	0	0	0	0	-0.296	0	0	0	0	0	0	-0.341	0	0	0	0	0	0	0	0	0	0	0	0	-0.359	0	-0.615	0	0	0	-0.469	0	0	0	0
PLTP	0	0	0	0	-0.028	0	-0.611	0	0	0	-0.239	0	0	-0.247	0	0	0	0	0	0	0	0.291	0	0	0	0	0	0	0	0	-0.21	0	0	0	-0.309	0	0	0
PLVAP	0	0	1.283	0	1.342	0	0.369	0	0	0	0	0	0	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLXDC1	0.219	0	0.233	0.681	-0.618	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	1.31	-0.579	0	0	0	0	0	0	0.533	0	0	0	1.057	-0.729	0.671	0	0	0
PLXDC2	0.059	-0.675	0.153	-0.069	-0.108	-0.746	-1.061	-1.436	-0.117	-1.582	-1.579	-1.92	0.898	-0.557	-1.311	-1.685	0	-1.126	-0.993	-0.697	-1.33	-1.299	-0.498	-0.4	-0.31	0.467	-0.394	-1.279	-0.187	-1.385	-1.07	-1.651	-2.063	-1.789	-2.069	-0.803	-1.013	-1.506
PLXNB2	-0.051	-1.005	-0.417	-0.289	-0.238	-1.406	-0.711	-0.256	0.163	-0.962	-2.069	-1.31	0.798	-0.087	-0.411	-0.735	-0.105	-1.256	-0.493	-0.267	-0.59	-0.479	-0.658	-0.39	-0.53	0.017	-0.594	0.091	-0.277	-0.375	-1.04	-0.841	-0.393	-0.519	-1.319	-0.993	-1.993	-1.176
PLXNC1	0	0	0	0	1.122	-0.066	0.029	-0.226	-0.297	-0.882	-0.799	-0.94	0	0.483	-0.391	0	-0.425	0.084	-0.303	-0.697	0	-0.459	0.152	0	0	0	0.056	-0.189	0	0	0	-0.661	-1.293	-0.859	-0.969	0	0	0
PLXND1	0.349	0	0.603	-0.099	0.122	0	-0.951	-0.196	-0.007	-1.162	-0.579	0	0.048	-0.327	-0.161	-0.755	1.065	0.154	-0.163	0	-0.76	-0.309	-0.728	-0.32	0	0	-0.594	-0.149	-0.067	0.955	-1.2	-0.831	-0.513	-0.609	-1.059	0	0	0
PMAIP1	-1.2155	0	-1.5135	-1.5295	0	0	-1.8905	-3.321	-3.127	-3.127	0	-2.35	0	0	-3.391	-2.0825	-2.4725	0	-3.533	0	-1.97	-3.839	-2.248	0	0	-1.5515	-1.962	-2.854	-2.0885	-2.2975	0	-2.506	0	-3.834	0	-1.6365	-1.6465	-1.103
PMFBP1	0	0	0	0	0.572	0	0.019	0	0	0	0	0	0	-0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.14	0	0	0	0	0	0	0
PMM1	0.1095	0	0	0	0.301	0.572	0.1345	0.477	0.5465	0.259	0.4655	0.155	0.409	0.6215	0.3145	0.5775	0.3125	0.517	0.4185	0.4115	0.275	0.206	0.346	0	0.46	0.2135	0.373	0.1105	0.5865	0.5025	0.425	0.2745	0.2685	0.301	0.3705	0.2485	0.5985	0.262
PMM2	0	0	0	0	1.002	1.434	1.779	1.744	2.743	1.788	0	0.94	0.958	0	1.929	2.365	0	0	2.467	0	2.32	2.571	0	2.34	0	0.487	1.116	0.751	2.533	0	1.87	1.859	1.377	1.591	0.561	0	1.857	2.304
PMVK	0.679	1.425	0.943	1.021	1.222	1.784	1.119	1.824	1.603	1.748	1.631	1.27	1.148	2.243	1.819	2.335	1.405	1.724	1.667	1.703	1.45	1.841	1.332	2.19	2.22	1.557	1.886	1.611	2.113	1.575	2.22	1.449	1.907	1.801	1.211	1.067	2.137	1.244
PNKP	0.2195	0.4525	0.3365	0.4455	1.252	0.702	0.644	1.264	0.5165	0.554	0.5505	0.315	0.524	0.918	1.154	0.8375	1.295	0.732	0.7335	1.553	0.385	0.831	0.381	1.34	0.95	0.5885	1.196	0.971	1.263	1.545	0.595	0.739	1.232	0.961	0.3005	0.4385	0.6435	0.467
PNMT	0	0	0	0	0.972	0	0.919	0	0	0	0	0	0	0.883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.571	0	0	0
PNN	-0.611	-0.755	-0.647	-0.529	-2.148	-1.056	-0.661	-1.596	-1.137	-0.292	-1.159	0.67	-1.192	-1.067	-1.061	-0.725	-1.605	0	-1.333	0	-0.73	-1.439	-0.998	-1.64	0	-1.043	0	-1.249	-1.187	-0.845	-0.44	-0.201	-1.073	-0.489	0.121	-0.733	0.857	0.654
PNOC	0.239	0.295	0.473	0.721	0.752	1.764	1.359	1.374	1.123	1.418	0.951	1.01	0.938	0.663	1.399	1.735	1.505	1.604	1.567	1.903	1.19	1.921	0.752	2.37	2.36	0	0.766	1.161	0.853	1.755	2.25	1.209	1.557	1.501	0.801	0	2.617	1.534
PNPT1	0	0	0.133	-0.139	0	0	0	-0.286	0	-0.442	0	0.07	0	0	-0.091	-0.755	0	0	-0.283	0	0.44	0.081	0	0	0	1.627	0	0.101	-0.747	0	0	-0.211	0	0	0	0	0	0.244
POFUT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.847	0	0.36	0.551	0	0	0	0	0	0	0	0	0.55	0	0	0	0	0	0	0
POFUT2	0	0	0.693	0	1.212	0.354	0	1.894	0	0	0	0	0	0.513	0	0	0	0	0.007	0	0.27	0.831	0	0	0	0	0	0	0	0	0.48	0	0	0	0.221	0	0	0
PON2	-0.621	0	-1.047	-0.549	-1.858	0	0	-1.416	-1.067	-1.812	0	-0.89	0	0	-1.531	-1.325	0	0	-1.493	0	-0.9	-1.719	-0.968	0	0	0	0	-1.059	-1.507	0	0	-0.821	0	-0.769	0	0	0	0
PON3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.063	0	0
PPAT	-0.161	0.0425	-0.167	-0.079	-1.788	-0.421	0.104	-0.641	-0.482	1.323	0.0555	1.92	0	-0.0485	-0.176	1.19	-1.33	-0.338	0.122	-0.4235	0.19	-0.339	-0.023	-0.175	0.085	-0.028	0.048	-0.674	0.048	-0.385	0.315	1.224	-0.743	0.611	0.551	0.1385	2.422	2.114
PPCDC	1.039	1.205	1.443	1.321	1.172	1.534	1.149	1.104	1.423	1.498	1.061	0.91	2.048	1.693	0.949	1.755	0.855	0.984	1.427	1.683	0.81	1.151	0.962	1.48	2.5	2.147	1.616	0.821	1.463	0.475	1.71	1.069	0.437	0.941	0.291	0.477	2.497	1.274
PPCS	-0.331	-0.4625	-0.262	-0.279	-1.263	-1.096	-0.4505	-0.756	-0.912	-0.502	-0.789	-0.21	-1.047	-0.3635	-0.4155	-0.48	-1.305	-0.971	-0.733	-0.8485	-0.705	-0.934	-0.383	-1.05	-0.51	-0.593	-0.769	-0.664	-0.782	-1.305	-0.45	-0.086	-1.023	-0.379	-0.634	-0.403	-0.608	-0.311
PPHLN1	-0.556	-0.1875	-0.432	-0.219	-0.203	0.849	0.549	0.664	0.093	0.778	0.471	0.13	0	0.5165	0.559	0.415	0.26	0.242	0.787	0.3365	0.225	0.846	0.272	-0.015	0.1	-0.228	0.711	0.521	0.083	-0.12	0.595	0.264	0.827	0.741	0.411	0.237	0.397	0.249
PPME1	0.809	0.735	0.703	0.861	0.852	0.724	0.509	1.004	1.163	0.228	1.221	0.09	0.988	0.453	0.759	1.005	1.145	1.024	0.777	0.853	0.95	1.051	0.782	1.13	1.34	0.967	0.526	0.971	1.123	1.035	0.4	0.359	1.177	0.861	0.291	0	0.287	0.434
PPOX	0.034	0.52	0.498	0.436	1.207	1.114	0.309	0.989	1.228	1.423	1.101	0.8	0.409	1.068	1.179	1.27	1.22	0.879	1.337	1.338	0.785	0.5005	0.561	0.91	1.005	0.517	0.696	0.776	1.118	1.165	1.17	0.869	0.912	1.166	0.611	0.767	1.412	0.779
PPT2	0	0	0	0.141	0.352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.331	0	0	0	0	0	0	0	0	0	0	0	-0.019	0	0	0	0
PPWD1	-0.621	0	-0.727	-0.449	-1.978	-1.406	0	-1.286	-2.027	-0.272	-0.589	0.3	0	0	-0.931	-1.065	-1.395	-1.146	-1.113	0	-0.88	-1.259	-0.948	0	0	0	-1.044	-0.819	-1.937	-1.395	-0.25	-0.211	-0.673	-0.219	-0.069	-0.173	-0.603	0.144
PPY	0	0	0	0.211	0.462	0.274	0.269	0	0	-0.122	-0.029	0	0	0.443	0	0	0	0	0	0	0.18	0.281	0	0	0.36	0	-0.004	0	0.253	0.275	0.2	0	0	0	0.021	0	0.057	0
PQBP1	0.149	-0.235	0.143	-0.049	0	0	-0.281	1.054	0.583	0.418	0	-0.13	0.018	0.283	0.959	0.365	0.565	-0.276	0.747	0.453	-0.03	0	0.362	0.52	0.53	-0.183	0.146	0	0.523	0.645	0.42	0.229	0.417	0.531	0	0.127	-0.133	-0.316
PRAM1	1.119	0.875	0.963	1.141	1.572	-0.136	0.509	0.404	1.333	-0.362	0	-0.94	1.458	0.893	0.629	0.475	1.055	0	0.587	0.593	-0.11	0.421	0.502	0.97	0.95	1.467	0.886	0.721	1.413	-0.235	0.42	-0.611	0.107	-0.229	-0.829	-0.023	-1.013	-0.796
PRAMEF1	0	0	0	0	0.202	0	-0.341	0	0	0	0	0	0	0.353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0.312	0	0.409	0	0	0.258	0	0	0	0.653	0	0	0	0	0.657	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0	0	0	-1.252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRC1	0	0	0	0	0	0	-0.5255	0.452	0.4565	0.719	0.5555	0.84	0	0.4315	0.6245	0.8375	0	0.107	0.4835	0	0.255	0.5105	0.341	0.645	0.49	0	0	0.3805	0.7165	0.4075	1.43	0.5795	0.3785	0.5655	0	0	2.247	0.797
PRDX1	-0.306	-0.125	-0.032	-0.164	-0.068	0.804	-0.111	1.039	0.863	1.283	0.656	1.385	0.419	1.068	1.359	1.175	0.495	0.224	1.152	0.518	0.26	1.116	0.647	0.585	0.655	0.502	0.971	0.686	0.648	0.615	1.41	1.264	0.937	1.696	0.131	0.522	1.787	1.249
PRDX2	0.279	1.485	1.273	0.561	1.382	0.694	-0.201	1.384	0.603	0.638	0.731	0.5	0	1.113	1.259	0.635	1.345	0.914	0.677	0.933	0.46	1.251	0.012	0.54	0.53	0.257	0.566	0.971	0.833	1.135	0.53	0.609	1.117	1.171	0.071	0.497	0.017	-0.066
PRDX3	0.079	0	0.033	0.231	0	0	0	-0.126	-1.367	0.398	0	1.06	-1.772	0	0.019	-0.235	-1.305	0	0.167	0	-0.62	-0.509	-0.178	-0.74	0	-0.133	-0.504	-0.509	-0.817	0	0	1.089	-0.913	0.811	0	-0.413	0	0.994
PRDX4	-0.461	0	-0.027	0.261	0	0	0	2.224	1.173	3.258	0	0	1.068	0	2.239	2.695	1.505	0	2.457	0	1.25	0	2.102	2.53	0	2.227	1.366	1.831	1.043	2.085	0	3.019	1.187	3.031	0	2.277	2.837	4.104
PRDX5	0.329	0.58	0.678	0.581	1.267	0.259	-0.046	1.149	0.443	0.803	0.551	0.39	0.203	0.478	1.009	0.69	0.725	0.379	0.912	0.888	0.305	1.011	0.622	0.975	0.79	0.307	0.121	0.851	0.738	0.655	1.04	0.549	0.682	0.976	0.011	0.397	0.887	0.309
PRDX6	0.029	0.44	0.123	0.331	0.377	-0.241	-0.561	-0.021	0.238	-0.502	-0.0745	-0.27	-0.992	-0.462	-0.051	-0.42	-0.24	-0.411	-0.273	-0.532	-0.6	-0.234	-0.088	-0.515	-0.495	-0.193	-0.344	-0.179	-0.322	-0.995	-0.15	-0.236	-0.438	-0.184	-0.879	-0.243	-1.078	-0.676
